task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
task 1 has started...
 460  1468506024.26216412  1468506024.26251602  0.00035191
 461  1468506024.26259708  1468506024.26294708  0.00035000
 462  1468506024.26302910  1468506024.26338100  0.00035191
 463  1468506024.26346207  1468506024.26381612  0.00035405
 464  1468506024.26389599  1468506024.26424909  0.00035310
 465  1468506024.26432896  1468506024.26467991  0.00035095
 466  1468506024.26476097  1468506024.26511407  0.00035310
 467  1468506024.26519394  1468506024.26556802  0.00037408
 468  1468506024.26564908  1468506024.26600289  0.00035381
 469  1468506024.26608396  1468506024.26643705  0.00035310
 470  1468506024.26651812  1468506024.26687002  0.00035191
 471  1468506024.26695108  1468506024.26730704  0.00035596
 472  1468506024.26738691  1468506024.26773906  0.00035214
 473  1468506024.26781988  1468506024.26817203  0.00035214
 474  1468506024.26825309  1468506024.26860499  0.00035191
 475  1468506024.26868510  1468506024.26903701  0.00035191
 476  1468506024.26911712  1468506024.26947093  0.00035381
 477  1468506024.26955199  1468506024.26990509  0.00035310
 478  1468506024.26998591  1468506024.27034402  0.00035810
 479  1468506024.27042699  1468506024.27078104  0.00035405
 480  1468506024.27086306  1468506024.27121496  0.00035191
 481  1468506024.27129602  1468506024.27164888  0.00035286
 482  1468506024.27172899  1468506024.27208209  0.00035310
 483  1468506024.27216196  1468506024.27251697  0.00035501
 484  1468506024.27259803  1468506024.27294993  0.00035191
 485  1468506024.27303004  1468506024.27338290  0.00035286
 486  1468506024.27346396  1468506024.27381611  0.00035214
 487  1468506024.27389693  1468506024.27425194  0.00035501
 488  1468506024.27433205  1468506024.27468610  0.00035405
 489  1468506024.27476597  1468506024.27512002  0.00035405
 490  1468506024.27520108  1468506024.27556992  0.00036883
 491  1468506024.27565002  1468506024.27600408  0.00035405
 492  1468506024.27608490  1468506024.27643895  0.00035405
 493  1468506024.27652001  1468506024.27687192  0.00035191
 494  1468506024.27695394  1468506024.27730393  0.00035000
 495  1468506024.27738500  1468506024.27774000  0.00035501
 496  1468506024.27782106  1468506024.27817297  0.00035191
 497  1468506024.27825403  1468506024.27860594  0.00035191
 498  1468506024.27868700  1468506024.27903891  0.00035191
 499  1468506024.27911901  1468506024.27947307  0.00035405
 500  1468506024.27955198  1468506024.27990603  0.00035405
 501  1468506024.27998590  1468506024.28034496  0.00035906
 502  1468506024.28042603  1468506024.28078008  0.00035405
 503  1468506024.28086090  1468506024.28121400  0.00035310
