task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
task 1 has started...
 492  1468506049.15384197  1468506049.15385294  0.00001097
 493  1468506049.15392089  1468506049.15393209  0.00001121
 494  1468506049.15400004  1468506049.15401006  0.00001001
 495  1468506049.15407801  1468506049.15408802  0.00001001
 496  1468506049.15415502  1468506049.15416598  0.00001097
 497  1468506049.15423203  1468506049.15424299  0.00001097
 498  1468506049.15430999  1468506049.15432000  0.00001001
 499  1468506049.15438700  1468506049.15439701  0.00001001
 500  1468506049.15446401  1468506049.15447497  0.00001097
 501  1468506049.15454197  1468506049.15455294  0.00001097
 502  1468506049.15461993  1468506049.15462995  0.00001001
 503  1468506049.15469790  1468506049.15470791  0.00001001
